y_true,y_pred,y_prob
0,0,0.325
0,0,0.3775
1,0,0.355
1,0,0.2925
1,0,0.495
1,1,0.585
1,0,0.4
1,0,0.4175
1,0,0.4625
1,0,0.38
1,1,0.515
1,0,0.485
0,0,0.1825
0,1,0.7275
1,1,0.7375
0,1,0.5025
0,0,0.3625
1,1,0.72
1,1,0.6475
0,0,0.3925
1,0,0.35
1,1,0.5525
0,0,0.2825
1,1,0.55
1,1,0.53
0,0,0.4
0,1,0.6475
1,1,0.95
1,1,0.7
0,0,0.475
1,1,0.56
0,1,0.7625
0,0,0.16
1,1,0.5625
1,1,0.7025
1,1,0.555
0,0,0.33
0,0,0.2475
1,0,0.485
1,1,0.6275
1,1,0.66
1,1,0.9175
1,0,0.415
1,0,0.31
1,1,0.67
0,1,0.6325
0,0,0.4525
0,1,0.69
0,0,0.3825
1,1,0.705
1,0,0.375
0,0,0.3075
0,1,0.5875
0,0,0.4575
1,0,0.4525
0,1,0.65
0,1,0.59
1,1,0.74
1,1,0.6675
1,1,0.9675
0,0,0.385
0,0,0.3525
1,0,0.3875
0,0,0.1975
0,0,0.4625
0,1,0.6575
0,0,0.335
1,0,0.37
0,0,0.2075
0,0,0.31
0,0,0.295
0,0,0.4625
0,0,0.39
0,0,0.3475
0,1,0.5025
0,0,0.1675
1,1,0.8325
0,0,0.495
0,1,0.5075
0,1,0.55
0,0,0.3575
0,1,0.5875
0,0,0.425
0,0,0.435
0,0,0.295
0,0,0.405
0,0,0.3775
0,0,0.275
0,0,0.445
0,0,0.39
0,1,0.5225
1,1,0.765
0,0,0.2175
0,0,0.245
1,0,0.4125
0,1,0.515
0,0,0.3325
0,0,0.325
0,0,0.155
0,0,0.48
0,0,0.465
0,0,0.155
0,0,0.185
0,1,0.5925
1,0,0.4425
0,0,0.2175
0,0,0.48
0,0,0.3175
0,1,0.6425
0,0,0.1325
1,1,0.8325
1,1,0.745
1,0,0.44
1,0,0.21
1,1,0.725
1,0,0.34
0,0,0.315
1,0,0.275
1,0,0.28
1,0,0.3975
0,0,0.1925
1,1,0.85
1,1,0.655
1,1,0.655
0,0,0.1875
0,0,0.315
0,0,0.4
1,0,0.385
1,1,0.7275
1,0,0.2175
1,1,0.64
1,0,0.35
1,1,0.805
0,1,0.52
0,1,0.755
0,0,0.475
0,0,0.4125
1,1,0.5775
0,1,0.6275
1,1,0.6125
1,1,0.7925
1,1,0.7675
0,0,0.3525
1,1,0.7775
1,1,0.6325
1,0,0.4675
1,1,0.5375
0,0,0.4725
1,1,0.7975
1,1,0.5225
0,0,0.4125
1,1,0.5325
1,1,0.645
0,1,0.63
0,1,0.5475
0,0,0.4175
1,0,0.4875
0,0,0.325
0,0,0.2975
0,0,0.3825
0,0,0.2175
0,0,0.4625
0,0,0.3825
0,0,0.1875
1,1,0.7425
0,0,0.425
