track,model,n_samples,n_features,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp
trilha_core_com_ipp,logistic,1628,14,0.5887850467289719,0.8873239436619719,0.7078651685393258,0.9347694007180337,0.8128907311843295,211,44,8,63
trilha_core_sem_ipp,logistic,2544,16,0.6666666666666666,0.8818897637795275,0.7593220338983051,0.9376159459125202,0.8424878961617059,326,56,15,112
trilha_core_sem_ipp,gradient_boosting,2544,16,0.8103448275862069,0.7401574803149606,0.7736625514403292,0.932534938368306,0.8632468182971353,360,22,33,94
trilha_core_sem_ipp,random_forest,2544,16,0.8018018018018018,0.7007874015748031,0.7478991596638656,0.9279692459908481,0.8533832739770535,360,22,38,89
trilha_core_com_ipp,gradient_boosting,1628,14,0.6811594202898551,0.6619718309859155,0.6714285714285714,0.9280309306821319,0.7966852922719944,233,22,24,47
trilha_core_com_ipp,random_forest,1628,14,0.6964285714285714,0.5492957746478874,0.6141732283464567,0.9211543772438553,0.7626119232980874,238,17,32,39
